word
one
two
three
four
five
six
seven
eight
nine
ten
eleven
twelve
thirteen
fourteen
fifteen
sixteen
seventeen
eighteen
nineteen
twenty
thirty
forty-four
fifty
sixty-four
eighty
ninety
one hundred
two hundred
five hundred
seven thousand
over nine thousand
one million
three quadrillion
eighteen billion
sixty-two vigintillion
infinite
