messageID,liked
42166,t
45701,f
48302,f
48300,f
48273,f
48275,f
48281,f
48283,f
48284,f
48285,f
48394,f
48452,f
48439,f
48441,f
48436,f
48469,t
49740,t
54042,t
56109,t
56111,t
57493,t
58744,t
58758,t
59696,t
59699,t
59702,f
59713,t
59775,t
59786,t
59789,t
59811,t
60537,t
60538,t
60710,t
60755,t
60800,t
60802,t
61468,t
62089,t
62110,t
62650,t
62658,t
64189,t
64235,t
64261,f
64619,t
64630,t
64956,f
64957,t
64962,t
65062,t
65164,t
65195,t
65384,t
65408,t
65414,t
66955,t
66979,t
67375,t
68296,t
68534,t
68586,t
68642,t
68652,t
68699,t
68858,t
68872,t
68957,t
68994,t
69022,t
69119,t
69340,t
69396,t
69407,t
69440,t
69485,t
69527,t
69636,t
69760,t
69916,t
69987,t
70136,t
70250,t
70313,t
70487,t
70544,t
70649,t
70681,t
70825,t
70855,t
71237,t
71264,t
71390,t
71497,t
71595,t
71628,t
71712,t
72237,t
72241,t
72299,t
73055,t
73406,t
73434,t
73454,t
73658,t
73738,t
73827,t
74052,t
74077,t
74078,t
74216,t
74300,t
74973,t
75154,t
75335,t
75825,t
75842,t
75866,t
75907,t
76194,t
76226,t
76438,t
76581,t
76973,f
77429,t
77563,t
78235,t
78477,f
78595,t
78727,f
78840,t
79675,t
79802,t
79939,t
80781,t
80966,t
81011,t
81115,t
81255,t
81390,t
81941,t
82184,t
82342,t
83232,t
83371,t
83370,t
83623,t
84116,t
85351,t
85415,t
86266,t
88465,t
88474,t
89902,t
89945,t
94678,t
94679,t
94680,t
94681,t
94682,t
