messageID,liked
41047,t
41087,t
41133,t
41515,t
41585,t
41734,t
41829,f
41909,f
41944,f
41951,f
41975,t
42017,f
42021,t
42022,t
42023,t
42025,f
42027,t
42030,t
42178,f
42184,t
42286,f
42360,t
42396,t
42398,f
42425,t
42429,t
42441,f
42447,t
42784,f
42865,t
43100,t
43531,t
43554,t
43569,t
43576,t
43582,t
43693,t
43725,t
43794,t
43841,t
43904,t
44928,f
44935,f
45167,t
45220,f
45219,f
45241,f
45261,t
45687,t
45829,t
45856,f
45866,f
45869,t
45872,f
45876,t
45881,t
45947,t
46003,t
46563,t
46614,t
46615,t
47386,t
48273,t
48300,t
48327,f
48337,t
48333,f
48388,f
48444,f
50118,f
50195,t
51094,t
51100,f
51449,t
51479,t
51799,t
51794,f
53149,t
53223,t
53294,t
53368,t
53468,t
53959,f
53964,t
54250,t
54263,t
55165,t
55580,f
57962,t
57997,t
58753,t
59278,t
59693,t
59698,t
59691,t
60183,t
60516,t
60541,t
60707,t
60700,t
60710,t
61252,t
61476,t
62539,f
62558,t
62578,t
62650,t
64098,t
64258,t
64262,f
64476,t
64744,t
65140,t
65234,t
65247,t
65261,t
65366,t
65408,t
65414,t
65441,t
65481,t
65488,t
66461,f
66484,t
66488,t
66512,t
66517,f
66522,f
66523,f
66531,t
66774,t
66786,t
66955,t
67300,t
67678,t
68240,t
68872,t
69175,t
69203,t
69276,t
69283,t
69294,t
69364,t
69496,t
69621,t
69739,t
70017,t
70116,t
70139,t
70313,t
70556,t
70561,t
70618,t
70709,t
70879,t
70896,t
71138,t
71154,t
71170,t
71267,t
71812,t
71895,t
71900,t
71906,t
72241,t
72598,t
72605,t
72764,t
72777,t
73153,t
73230,t
74052,t
74106,t
74107,t
74111,t
74374,t
74443,t
74462,t
74673,f
74932,t
75221,t
75474,t
75583,t
75607,t
75878,t
75886,t
75891,f
75960,t
76255,t
76438,t
76533,t
77042,t
77154,t
77167,t
77234,t
77239,t
77429,t
77521,t
77611,t
78441,t
78737,t
78998,t
79016,t
79675,t
79802,t
80229,t
80323,t
80338,t
80460,t
80630,f
80739,t
80740,t
80871,t
80910,t
81115,t
81123,t
81122,t
81176,t
81303,t
81385,t
83232,t
83370,t
83417,t
83421,t
83435,t
83551,t
83930,t
85069,t
85137,t
85169,t
85240,t
86446,t
89811,t
