messageID,liked
41975,t
42025,t
42023,t
42021,f
42022,t
42030,t
42027,t
42143,f
42287,t
42334,f
42693,t
42653,t
43100,t
43164,t
43171,t
43216,t
43415,f
43416,f
43554,t
43677,t
44606,t
44886,t
44929,f
44935,t
44957,t
45213,f
45220,t
45687,t
45701,t
45947,t
46356,t
48354,t
48447,t
51418,t
51415,t
51449,t
53149,t
53744,t
55001,t
56202,t
56925,t
56945,t
62539,t
64189,t
67048,t
68582,t
69276,t
71316,t
71318,t
72108,t
72119,f
72120,f
72121,f
72128,t
73648,t
74052,t
74477,t
75814,t
80229,t
82306,t
83791,t
85351,f
98621,t
100121,t
101517,t
104828,t
105640,f
105635,t
105658,t
105683,f
119558,t
119975,t
127473,t
129015,t
142853,t
142843,t
152062,t
152309,t
154694,t
164658,t
190740,t
196308,t
196291,t
218866,t
