messageID,liked
88849,t
89588,t
89829,t
90085,t
90287,t
90448,t
90483,t
90510,t
90517,t
90618,t
90635,t
93415,f
93419,t
93425,t
93451,t
93461,t
93518,t
93788,t
93804,t
93975,t
93992,t
94005,t
94045,t
94061,f
94262,t
94271,t
97058,t
97904,f
98356,t
99226,t
100453,t
100454,t
100583,t
100593,t
100679,t
100913,t
102651,t
102947,t
104686,t
120650,t
121010,t
121015,t
121466,t
121539,f
124117,f
126123,t
126499,t
141834,f
142541,f
142569,f
152283,t
184884,t
185672,t
